Airport_name,Cancellation_reason,Number_of_cancellations
"Lewiston, ID: Lewiston Nez Perce County",Weather,1
"Lexington, KY: Blue Grass",Weather,6
"Lihue, HI: Lihue Airport",Carrier,5
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,4
"Long Beach, CA: Long Beach Airport",Carrier,10
"Los Angeles, CA: Los Angeles International",Carrier,24
"Louisville, KY: Louisville Muhammad Ali International",Weather,2
"Lubbock, TX: Lubbock Preston Smith International",Weather,4
"Madison, WI: Dane County Regional-Truax Field",Weather,1
"Manchester, NH: Manchester-Boston Regional",Carrier,1
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,2
"Martha's Vineyard, MA: Martha's Vineyard Airport",Weather,1
"Memphis, TN: Memphis International",Carrier,5
"Miami, FL: Miami International",Carrier,21
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,5
"Milwaukee, WI: General Mitchell International",Carrier,5
"Minneapolis, MN: Minneapolis-St Paul International",Carrier,6
"Minot, ND: Minot International",Weather,5
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,1
"Moab, UT: Canyonlands Field",Weather,2
"Mobile, AL: Mobile Regional",Weather,2
"Monroe, LA: Monroe Regional",Weather,2
"Monterey, CA: Monterey Regional",Weather,2
"Montrose/Delta, CO: Montrose Regional",Weather,1
"Myrtle Beach, SC: Myrtle Beach International",Carrier,6
"Nantucket, MA: Nantucket Memorial",Weather,2
"Nashville, TN: Nashville International",Carrier,20
"New Orleans, LA: Louis Armstrong New Orleans International",Carrier,3
"New York, NY: John F. Kennedy International",Carrier,6
"New York, NY: LaGuardia",Carrier,16
"Newark, NJ: Newark Liberty International",Carrier,15
"Norfolk, VA: Norfolk International","National Air System",1
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,2
"Oakland, CA: Metropolitan Oakland International",Carrier,17
"Oklahoma City, OK: Will Rogers World",Weather,7
"Omaha, NE: Eppley Airfield",Carrier,5
"Ontario, CA: Ontario International",Carrier,4
"Orlando, FL: Orlando International",Carrier,71
"Pasco/Kennewick/Richland, WA: Tri Cities",Carrier,1
"Pensacola, FL: Pensacola International",Carrier,2
"Philadelphia, PA: Philadelphia International",Carrier,18
"Phoenix, AZ: Phoenix - Mesa Gateway",Carrier,1
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,12
"Pittsburgh, PA: Pittsburgh International",Carrier,2
"Ponce, PR: Mercedita",Carrier,3
"Portland, ME: Portland International Jetport",Carrier,1
"Portland, OR: Portland International",Carrier,13
"Portsmouth, NH: Portsmouth International at Pease","National Air System",1
"Provo, UT: Provo Municipal","National Air System",1
"Raleigh/Durham, NC: Raleigh-Durham International",Carrier,10
"Rapid City, SD: Rapid City Regional",Weather,2
"Reno, NV: Reno/Tahoe International",Weather,2
"Richmond, VA: Richmond International",Weather,1
"Riverton/Lander, WY: Riverton Regional",Weather,1
"Rochester, MN: Rochester International",Weather,1
"Rochester, NY: Greater Rochester International",Carrier,1
"Rock Springs, WY: Southwest Wyoming Regional",Weather,1
"Roswell, NM: Roswell International Air Center",Weather,1
"Sacramento, CA: Sacramento International",Carrier,4
"Salt Lake City, UT: Salt Lake City International",Carrier,5
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,1
"San Antonio, TX: San Antonio International",Weather,10
"San Diego, CA: San Diego International",Carrier,14
"San Francisco, CA: San Francisco International",Carrier,29
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,12
"San Juan, PR: Luis Munoz Marin International",Carrier,15
"San Luis Obispo, CA: San Luis County Regional",Weather,2
"Sanford, FL: Orlando Sanford International",Carrier,3
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,6
"Santa Barbara, CA: Santa Barbara Municipal",Weather,4
"Santa Fe, NM: Santa Fe Municipal",Weather,3
"Savannah, GA: Savannah/Hilton Head International",Carrier,2
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,2
"Seattle, WA: Seattle/Tacoma International",Weather,8
"Sheridan, WY: Sheridan County","National Air System",1
"Shreveport, LA: Shreveport Regional",Weather,5
"Sioux Falls, SD: Joe Foss Field",Weather,3
"Spokane, WA: Spokane International",Weather,2
"Springfield, MO: Springfield-Branson National",Weather,4
"St. Louis, MO: St Louis Lambert International",Carrier,5
"Stillwater, OK: Stillwater Regional",Weather,1
"Syracuse, NY: Syracuse Hancock International",Carrier,1
"Tallahassee, FL: Tallahassee International",Weather,1
"Tampa, FL: Tampa International",Carrier,14
"Trenton, NJ: Trenton Mercer",Weather,2
"Tucson, AZ: Tucson International",Weather,4
"Tulsa, OK: Tulsa International",Weather,9
"Tyler, TX: Tyler Pounds Regional",Weather,2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Carrier,1
"Vernal, UT: Vernal Regional","National Air System",1
"Waco, TX: Waco Regional",Weather,1
"Walla Walla, WA: Walla Walla Regional","National Air System",1
"Washington, DC: Ronald Reagan Washington National",Carrier,3
"Washington, DC: Washington Dulles International",Carrier,4
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,8
"White Plains, NY: Westchester County",Carrier,1
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,2
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,5
"Wilmington, NC: Wilmington International",Weather,1
"Wrangell, AK: Wrangell Airport",Carrier,1
"Yakutat, AK: Yakutat Airport",Carrier,1
"Yuma, AZ: Yuma MCAS/Yuma International",Weather,2
